Name of meat shop,SStratitratification,Date of sample collection,Sample type,Point of sample collection,Sample weight (Kg),Dzongkhag,Farm category,Slaughter,Mode of Transportation,Transport medium,Transported along with other meat,Date of analysis
A.M MS,STII-04,23/08/2021,Broiler,Display table,2.64,Samtse,Semi-commercial,Farm premises,Closed meat van,Thermo cool box,No,24/08/2021
XXX MS,STII-05,23/08/2021,Broiler,Display table,2.5,Samtse,Semi-commercial,Farm premises,Closed meat van,Thermo cool box,No,24/08/2021
Wangyal MS,STII-07,23/08/2021,Broiler,Display table,2.25,Chukha,Commercial,Meat processing plant,Closed meat van,Individual plastic wrap,No,24/08/2021
Makcha MS,STII-01,23/08/2021,Broiler,Display table,1.37,Chukha,Commercial,Meat processing plant,Closed meat van,Individual plastic wrap,No,24/08/2021
Good Meal MS,STIII-03,23/08/2021,Broiler,Display table,2.1,Samtse,Semi-commercial,Farm premises,Closed meat van,Puff box,No,24/08/2021
TP MS,STII-02,23/08/2021,Broiler,Display table,2.1,Chukha,Commercial,Meat processing plant,Closed meat van,Individual plastic wrap,No,24/08/2021
Karmaling MS,STII-06,23/08/2021,Broiler,Display table,1.6,Chukha,Commercial,Meat processing plant,Closed meat van,Individual plastic wrap,No,24/08/2021
Samjana MS,STII-03,23/08/2021,Broiler,Fridge,2.19,Samtse,Semi-commercial,Farm premises,Closed meat van,Puff box,No,24/08/2021
IB MS,STI-01,23/08/2021,Broiler,Display table,1.9,Chukha,Commercial,Meat processing plant,Closed meat van,Individual plastic wrap,No,24/08/2021
Phendey-Ling MS,STI-03,23/08/2021,Broiler,Fridge,2.275,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,24/08/2021
Druk MS,STII-13,23/08/2021,Broiler,Fridge,1.83,Dagana,Semi-commercial,Farm premises,Closed meat van,Thermo cool box,No,24/08/2021
Three Brothers MS,STII-08,23/08/2021,Broiler,Display table,1.8,Samtse,Semi-commercial,Farm premises,Closed meat van,With ice,No,24/08/2021
BB MS,STI-04,24/08/2021,Broiler,Display table,1.495,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,25/08/2021
Ugyen MS,STII-12,24/08/2021,Broiler,Display table,1.4,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,25/08/2021
DB MS,STII-11,24/08/2021,Broiler,Display table,1.59,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,25/08/2021
BM MS,STI-09,24/08/2021,Broiler,Display table,2.1,Chukha,Commercial,Meat processing plant,Closed meat van,Individual plastic wrap,No,25/08/2021
Kancha MS,STII-09,24/08/2021,Broiler,Display table,2.6,Chukha,Commercial,Meat processing plant,Closed meat van,Individual plastic wrap,No,25/08/2021
Maya MS,STI-06,24/08/2021,Broiler,Display table,1.5,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,25/08/2021
MK MS,STIII-02,24/08/2021,Broiler,Display table,2.3,Dagana,Semi-commercial,Farm premises,Closed meat van,With ice,No,25/08/2021
Kerung MS,STII-10,24/08/2021,Broiler,Display table,1.4,Thimphu,Semi-commercial,Farm premises,Closed meat van,With ice,No,25/08/2021
M.S MS,STI-11,9/06/2021,Broiler,Fridge,2.2,NA,Semi-commercial,Farm premises,Closed meat van,Thermo cool box,No,9/06/2021
Olakha MS,STI-12,9/06/2021,Broiler,Fridge,1.5,Wangdue Phodrang,Semi-commercial,Farm premises,Closed meat van,Thermo cool box,No,9/06/2021
P.T MS,STI-13,9/06/2021,Broiler,Fridge,1.667,Sarpang,Semi-commercial,Farm premises,Closed meat van,Thermo cool box,No,9/06/2021
Y.K MS,STI-17,9/06/2021,Broiler,Display table,1.3,Chukha,Commercial,Farm premises,Closed meat van,Thermo cool box,No,9/06/2021
Rai MS,STI-16,9/06/2021,Broiler,Fridge,2,Chukha,Commercial,Farm premises,Closed meat van,Thermo cool box,No,9/06/2021
Babesa MS,STIII-01,9/06/2021,Broiler,Fridge,1.7,Sarpang,Commercial,Farm premises,Closed meat van,With ice,No,9/06/2021
Saspra MS,STI-01,9/06/2021,Broiler,Fridge,2,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,9/06/2021
Ghalley MS,STII-27,9/06/2021,Broiler,Display table,2,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,9/06/2021
P.R MS,STII-29,9/06/2021,Broiler,Fridge,2,Sarpang,Commercial,Farm premises,Closed meat van,With ice,No,9/06/2021
Subba MS,STII-14,9/06/2021,Broiler,Fridge,2,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,9/06/2021
Dagana MS,STII-15,9/06/2021,Broiler,Display table,2,Chukha,Semi-commercial,Farm premises,Closed meat van,Thermo cool box,No,9/06/2021
Tila MS,STII-23,9/06/2021,Broiler,Fridge,1.3,Chukha,commercial,Farm premises,Closed meat van,With ice,No,9/06/2021
HN MS,STI-18,9/06/2021,Broiler,Fridge,2,Chukha,Semi-commercial,Farm premises,Closed meat van,Thermo cool box,No,9/06/2021
GM MS,STI-21,9/06/2021,Broiler,Fridge,2.1,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,9/06/2021
Thai MS,STI-26,9/07/2021,Broiler,Display table,1.2,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,9/08/2021
Dhimali MS,STI-15,9/07/2021,Broiler,Fridge,1.9,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,9/08/2021
KRT MS,STI-14,9/07/2021,Broiler,Fridge,2,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,9/08/2021
Mountain MS,STI-22,9/07/2021,Broiler,Fridge,2,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,9/08/2021
Sipsoo MS,STII-16,9/07/2021,Broiler,Display table,2.6,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,9/08/2021
Dagana MS,STI-23,9/07/2021,Broiler,Fridge,2,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,9/08/2021
Hontsho MS,STI-30,21/09/2021,Broiler,Fridge,2.4,Chukha,Semi-commercial,Farm premises,Closed meat van,Thermo cool box,No,22/09/2021
Dangrina MS,STI-34,21/09/2021,Broiler,Fridge,2.42,Dagana,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Abi Maya MS,STI-35,21/09/2021,Broiler,Display table,2.55,Tsirang,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Druk Star MS,STI-33,21/09/2021,Broiler,Display table,2.4,Dagana,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Taba MS,STI-31,21/09/2021,Broiler,Fridge,2,Thimphu,Commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Three MS,STI-32,21/09/2021,Broiler,Fridge,2,Thimphu,Commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Makcha MS,STII-01,21/09/2021,Broiler,Fridge,2,Samtse,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Karmaling MS,STII-06,21/09/2021,Broiler,Display table,2.5,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
AM MS,STII-04,21/09/2021,Broiler,Fridge,1.44,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
XXX MS,STII-05,21/09/2021,Broiler,Fridge,2.3,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Druk MS,STII-13,21/09/2021,Broiler,Fridge,2.2,Samtse,Commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Tila MS,STII-23,21/09/2021,Broiler,Fridge,2,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Subba MS,STII-14,21/09/2021,Broiler,Display table,1.9,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
JN MS,STIII-08,21/09/2021,Broiler,Display table,2.1,Dagana,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
DB MS,STII-11,21/09/2021,Broiler,Display table,2.9,Sarpang,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Kancha MS,STII-09,21/09/2021,Broiler,Fridge,2,Tsirang,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Shingden MS,STI-26,21/09/2021,Broiler,Fridge,1.5,Thimphu,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Saspra MS,STI-01,21/09/2021,Broiler,Fridge,2,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Kerung MS,STII-10,21/09/2021,Broiler,Fridge,2.5,Thimphu,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
M.S MS,STI-11,21/09/2021,Broiler,Fridge,2.5,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,22/09/2021
Sipsoo MS,STII-16,10/05/2021,Broiler,Fridge,2.2,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,10/08/2021
Tsirang MS,STII-17,10/05/2021,Broiler,Fridge,2.1,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,10/08/2021
IB MS,STI-01,10/05/2021,Broiler,Fridge,2,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,10/08/2021
Tek Maya MS,STII-19,10/07/2021,Broiler,Display table,2,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,10/08/2021
Motithang MS,STII-18,10/07/2021,Broiler,Fridge,1.9,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,10/08/2021
Four Star MS,STII-28,10/08/2021,Broiler,Fridge,1.9,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,10/08/2021
Phendey-Ling MS,STI-03,10/07/2021,Broiler,Fridge,1.5,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,10/08/2021
